Date,Monthly Total Precipitation (in),Monthly Average Mean Temperature (degF),Monthly Total Snowfall (in),City,ID
1977-11,0.07,-4.92,3.2,Delta Junction,USW00026415
1977-12,0.15,-11.48,3.8,Delta Junction,USW00026415
1978-01,0.04,9.13,2,Delta Junction,USW00026415
1978-02,0.14,12.96,4,Delta Junction,USW00026415
1978-03,0.03,19.34,1,Delta Junction,USW00026415
1978-04,0.38,35.62,4.8,Delta Junction,USW00026415
1978-05,0.8,51.71,0,Delta Junction,USW00026415
1978-06,1.58,56.03,0,Delta Junction,USW00026415
1978-07,1.43,63.39,0,Delta Junction,USW00026415
1978-08,2.5,57.92,0,Delta Junction,USW00026415
1978-09,0.54,46.52,,Delta Junction,USW00026415
1978-10,0.34,25.17,19.8,Delta Junction,USW00026415
1978-11,0.36,12.12,13.5,Delta Junction,USW00026415
1978-12,0.18,3.16,7.5,Delta Junction,USW00026415
1979-01,0.15,0.79,3.7,Delta Junction,USW00026415
1979-02,0.07,-19.64,2.3,Delta Junction,USW00026415
1979-03,0.06,15.79,1.3,Delta Junction,USW00026415
1979-04,0.15,33.75,1,Delta Junction,USW00026415
1979-05,0.1,51.21,0,Delta Junction,USW00026415
1979-06,2.97,56.58,0,Delta Junction,USW00026415
1979-07,3.55,61.26,0,Delta Junction,USW00026415
